Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Direction
0.816,1.5719999999999998,-3.9360000000000004,-0.22899999999999998,-3.484,0.154976,0
-0.27,0.816,1.5719999999999998,-3.9360000000000004,-0.22899999999999998,0.148574,0
-2.576,-0.27,0.816,1.5719999999999998,-3.9360000000000004,0.1598375,1
3.514,-2.576,-0.27,0.816,1.5719999999999998,0.16163,1
0.7120000000000001,3.514,-2.576,-0.27,0.816,0.153728,1
1.178,0.7120000000000001,3.514,-2.576,-0.27,0.154444,0
-1.3719999999999999,1.178,0.7120000000000001,3.514,-2.576,0.151722,1
0.807,-1.3719999999999999,1.178,0.7120000000000001,3.514,0.13230999999999998,1
0.040999999999999995,0.807,-1.3719999999999999,1.178,0.7120000000000001,0.143972,1
1.253,0.040999999999999995,0.807,-1.3719999999999999,1.178,0.133635,0
-2.678,1.253,0.040999999999999995,0.807,-1.3719999999999999,0.149024,0
-1.7930000000000001,-2.678,1.253,0.040999999999999995,0.807,0.13579000000000002,1
2.82,-1.7930000000000001,-2.678,1.253,0.040999999999999995,0.139898,1
4.022,2.82,-1.7930000000000001,-2.678,1.253,0.16434200000000002,1
0.75,4.022,2.82,-1.7930000000000001,-2.678,0.175648,0
-0.017,0.75,4.022,2.82,-1.7930000000000001,0.16347,1
2.42,-0.017,0.75,4.022,2.82,0.172625,0
-1.225,2.42,-0.017,0.75,4.022,0.168446,1
1.171,-1.225,2.42,-0.017,0.75,0.155292,0
-2.061,1.171,-1.225,2.42,-0.017,0.14339200000000002,1
0.7290000000000001,-2.061,1.171,-1.225,2.42,0.14055399999999998,1
0.11199999999999999,0.7290000000000001,-2.061,1.171,-1.225,0.125075,1
2.48,0.11199999999999999,0.7290000000000001,-2.061,1.171,0.171604,0
-1.5519999999999998,2.48,0.11199999999999999,0.7290000000000001,-2.061,0.166956,0
-2.259,-1.5519999999999998,2.48,0.11199999999999999,0.7290000000000001,0.171718,0
-2.428,-2.259,-1.5519999999999998,2.48,0.11199999999999999,0.20981599999999997,0
-2.708,-2.428,-2.259,-1.5519999999999998,2.48,0.192706,0
-2.292,-2.708,-2.428,-2.259,-1.5519999999999998,0.148252,0
-4.978,-2.292,-2.708,-2.428,-2.259,0.189858,1
3.5469999999999997,-4.978,-2.292,-2.708,-2.428,0.127884,1
0.26,3.5469999999999997,-4.978,-2.292,-2.708,0.1157425,0
-2.032,0.26,3.5469999999999997,-4.978,-2.292,0.123924,0
-1.739,-2.032,0.26,3.5469999999999997,-4.978,0.149082,0
-1.693,-1.739,-2.032,0.26,3.5469999999999997,0.17185599999999998,1
1.781,-1.693,-1.739,-2.032,0.26,0.16497,0
-3.682,1.781,-1.693,-1.739,-2.032,0.156454,1
4.15,-3.682,1.781,-1.693,-1.739,0.18028,0
-2.487,4.15,-3.682,1.781,-1.693,0.143978,1
2.343,-2.487,4.15,-3.682,1.781,0.154292,1
0.606,2.343,-2.487,4.15,-3.682,0.148006,1
1.077,0.606,2.343,-2.487,4.15,0.16355,0
-0.637,1.077,0.606,2.343,-2.487,0.1265325,1
2.26,-0.637,1.077,0.606,2.343,0.151578,1
1.716,2.26,-0.637,1.077,0.606,0.197994,0
-0.284,1.716,2.26,-0.637,1.077,0.155874,1
1.508,-0.284,1.716,2.26,-0.637,0.1767,0
-0.9129999999999999,1.508,-0.284,1.716,2.26,0.087465,0
-2.349,-0.9129999999999999,1.508,-0.284,1.716,0.13067,0
-1.798,-2.349,-0.9129999999999999,1.508,-0.284,0.142532,1
5.393,-1.798,-2.349,-0.9129999999999999,1.508,0.182248,1
1.156,5.393,-1.798,-2.349,-0.9129999999999999,0.179894,1
2.077,1.156,5.393,-1.798,-2.349,0.194998,1
4.751,2.077,1.156,5.393,-1.798,0.259656,1
2.702,4.751,2.077,1.156,5.393,0.23814000000000002,0
-0.924,2.702,4.751,2.077,1.156,0.19377750000000002,1
1.318,-0.924,2.702,4.751,2.077,0.202784,1
1.209,1.318,-0.924,2.702,4.751,0.223946,0
